id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy
263;Středa po 2. neděli velikonoční;;40;;;;0
264;Čtvrtek po 2. neděli velikonoční;;40;;;;0
265;Pátek po 2. neděli velikonoční;;40;;;;0
266;Sobota po 2. neděli velikonoční;;40;;;;0
267;Pondělí po 3. neděli velikonoční;;40;;;;0
268;Úterý po 3. neděli velikonoční;;40;;;;0
269;Středa po 3. neděli velikonoční;;40;;;;0
270;Čtvrtek po 3. neděli velikonoční;;40;;;;0
271;Pátek po 3. neděli velikonoční;;40;;;;0
272;Sobota po 3. neděli velikonoční;;40;;;;0
273;Pondělí po 4. neděli velikonoční;;40;;;;0
274;Úterý po 4. neděli velikonoční;;40;;;;0
275;Středa po 4. neděli velikonoční;;40;;;;0
276;Čtvrtek po 4. neděli velikonoční;;40;;;;0
277;Pátek po 4. neděli velikonoční;;40;;;;0
278;Sobota po 4. neděli velikonoční;;40;;;;0
279;Pondělí po 5. neděli velikonoční;;40;;;;0
280;Úterý po 5. neděli velikonoční;;40;;;;0
281;Středa po 5. neděli velikonoční;;40;;;;0
282;Čtvrtek po 5. neděli velikonoční;;40;;;;0
283;Pátek po 5. neděli velikonoční;;40;;;;0
284;Sobota po 5. neděli velikonoční;;40;;;;0
285;Pondělí po 6. neděli velikonoční;;40;;;;0
286;Úterý po 6. neděli velikonoční;;40;;;;0
287;Středa po 6. neděli velikonoční;;40;;;;0
288;Pátek po 6. neděli velikonoční;;40;;;;0
289;Sobota po 6. neděli velikonoční;;40;;;;0
290;Pondělí po 7. neděli velikonoční;;40;;;;0
291;Úterý po 7. neděli velikonoční;;40;;;;0
292;Středa po 7. neděli velikonoční;;40;;;;0
293;Čtvrtek po 7. neděli velikonoční;;40;;;;0
294;Pátek po 7. neděli velikonoční;;40;;;;0
295;Sobota po 7. neděli velikonoční;;40;;;;0
296;"Matky Boží, Panny Marie";;40;;;;0
297;Obrácení sv. Pavla;;40;;;;0
298;sv. Basila Velikého a Řehoře Naziánského;;40;;;;0
299;sv. Antonína;;40;;;;0
300;"Panny Marie, Matky jednoty křesťanů";;40;;;;0
301;sv. Anežky;;40;;;;0
302;sv. Františka Saleského;;40;;;;0
303;sv. Timoteje a Tita;;40;;;;0
304;sv. Tomáše Akvinského;;40;;;;0
305;sv. Jana Boska;;40;;;;0
306;Nejsvětějšího Jména Ježíš;;40;;;;0
307;sv. Rajmunda z Penafortu;;40;;;;0
308;sv. Hilaria;;40;;;;0
309;sv. Fabiána;;40;;;;0
310;sv. Šebestiána;;40;;;;0
311;sv. Vincence;;40;;;;0
312;sv. Anděly Mericiové;;40;;;;0
313;Uvedení Páně do chrámu ;;40;;;;0
314;Stolce sv. Petra;;40;;;;0
315;sv. Agáty;;40;;;;0
316;sv. Pavla Mikiho a druhů;;40;;;;0
317;sv. Scholastiky;;40;;;;0
318;sv. Polykarpa;;40;;;;0
319;sv. Blažeje;;40;;;;0
320;sv. Ansgara;;40;;;;0
321;sv. Jeronýma Emilianiho;;40;;;;0
322;sv. Josefiny Bakhity;;40;;;;0
323;Panny Marie Lurdské;;40;;;;0
324;sv. Alexia a druhů;;40;;;;0
325;sv. Petra Damianiho;;40;;;;0
326;sv. Josefa;;40;;;;0
327;Zvěstování Páně;;40;;;;0
328;sv. Perpetuy a Felicity;;40;;;;0
329;sv. Kazimíra;;40;;;;0
330;sv. Jana z Boha;;40;;;;0
331;sv. Františky Římské;;40;;;;0
332;sv. Jana Ogilvie;;40;;;;0
333;sv. Patrika;;40;;;;0
334;sv. Cyrila Jeruzalémského;;40;;;;0
335;sv. Turibia z Mongroveja;;40;;;;0
336;sv. Vojtěcha;;40;;;;0
337;sv. Marka;;40;;;;0
338;sv. Kateřiny Sienské;;40;;;;0
339;sv. Jana Křtitele de la Salle;;40;;;;0
340;sv. Stanislava;;40;;;;0
341;sv. Františka z Pauly;;40;;;;0
342;sv. Izidora;;40;;;;0
343;sv. Vincence Ferrerského;;40;;;;0
344;sv. Martina I.;;40;;;;0
345;sv. Anselma;;40;;;;0
346;sv. Jiřího;;40;;;;0
