id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
216;Pondělí po 3. neděli postní;;40;;;;0;;lent_3_monday
217;Úterý po 3. neděli postní;;40;;;;0;;lent_3_tuesday
218;Středa po 3. neděli postní;;40;;;;0;;lent_3_wednesday
219;Čtvrtek po 3. neděli postní;;40;;;;0;;lent_3_thursday
220;Pátek po 3. neděli postní;;40;;;;0;;lent_3_friday
221;Sobota po 3. neděli postní;;40;;;;0;;lent_3_saturday
222;Pondělí po 4. neděli postní;;40;;;;0;;lent_4_monday
223;Úterý po 4. neděli postní;;40;;;;0;;lent_4_tuesday
224;Středa po 4. neděli postní;;40;;;;0;;lent_4_wednesday
225;Čtvrtek po 4. neděli postní;;40;;;;0;;lent_4_thursday
226;Pátek po 4. neděli postní;;40;;;;0;;lent_4_friday
227;Sobota po 4. neděli postní;;40;;;;0;;lent_4_saturday
228;Pondělí po 5. neděli postní;;40;;;;0;;lent_5_monday
229;Úterý po 5. neděli postní;;40;;;;0;;lent_5_tuesday
230;Středa po 5. neděli postní;;40;;;;0;;lent_5_wednesday
231;Čtvrtek po 5. neděli postní;;40;;;;0;;lent_5_thursday
232;Pátek po 5. neděli postní;;40;;;;0;;lent_5_friday
233;Sobota po 5. neděli postní;;40;;;;0;;lent_5_saturday
234;pondělí po 1. neděli adventní;;40;;;;0;;advent_1_monday
235;úterý po 1. neděli adventní;;40;;;;0;;advent_1_tuesday
236;středa po 1. neděli adventní;;40;;;;0;;advent_1_wednesday
237;čtvrtek po 1. neděli adventní;;40;;;;0;;advent_1_thursday
238;pátek po 1. neděli adventní;;40;;;;0;;advent_1_friday
239;sobota po 1. neděli adventní;;40;;;;0;;advent_1_saturday
240;pondělí po 2. neděli adventní;;40;;;;0;;advent_2_monday
241;úterý po 2. neděli adventní;;40;;;;0;;advent_2_tuesday
242;středa po 2. neděli adventní;;40;;;;0;;advent_2_wednesday
243;čtvrtek po 2. neděli adventní;;40;;;;0;;advent_2_thursday
244;pátek po 2. neděli adventní;;40;;;;0;;advent_2_friday
245;sobota po 2. neděli adventní;;40;;;;0;;advent_2_saturday
246;pondělí po 3. neděli adventní;;40;;;;0;;advent_3_monday
247;úterý po 3. neděli adventní;;40;;;;0;;advent_3_tuesday
248;středa po 3. neděli adventní;;40;;;;0;;advent_3_wednesday
249;čtvrtek po 3. neděli adventní;;40;;;;0;;advent_3_thursday
250;pátek po 3. neděli adventní;;40;;;;0;;advent_3_friday
251;3. ledna;;40;;;;0;;christmas_time_january_3
252;4. ledna;;40;;;;0;;christmas_time_january_4
253;5. ledna;;40;;;;0;;christmas_time_january_5
254;Zjevení Páně;;40;;;;0;;epiphany
255;7. ledna;;40;;;;0;;christmas_time_january_7
256;8. ledna;;40;;;;0;;christmas_time_january_8
257;9. ledna;;40;;;;0;;christmas_time_january_9
258;10. ledna;;40;;;;0;;christmas_time_january_10
259;11. ledna;;40;;;;0;;christmas_time_january_11
260;12. ledna;;40;;;;0;;christmas_time_january_12
261;Pondělí po 2. neděli velikonoční;;40;;;;0;;easter_time_2_monday
