id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
500;sv. Ondřeje Dung-Laca a druhů;;40;;;;0;;andrew_dung_lac_priest_and_companions_martyrs
501;sv. Martina de Porres;;40;;;;0;;martin_de_porres_religious
502;sv. Alberta Velikého;;40;;;;0;;albert_the_great_bishop
503;sv. Markéty Skotské;;40;;;;0;;margaret_of_scotland
504;sv. Gertrudy;;40;;;;0;;gertrude_the_great_virgin
505;Posvěcení římských bazilik svatých apoštolů Petra a Pavla;;40;;;;0;;dedication_of_the_basilicas_of_saints_peter_and_paul_apostles
506;sv. Klementa I.;;40;;;;0;;clement_i_pope
507;sv. Kolumbána;;40;;;;0;;columban_of_luxeuil_abbot
508;sv. Kateřiny Alexandrijské;;40;;;;0;;catherine_of_alexandria_virgin
509;Panny Marie, počaté bez poskrvny prvotního hříchu;;40;;;;0;;immaculate_conception_of_mary
510;sv. Štěpána;;40;;;;0;;stephen_the_first_martyr
511;sv. Jana;;40;;;;0;;john_apostle
512;sv. Mláďátek;;40;;;;0;;holy_innocents_martyrs
513;sv. Ambrože;;40;;;;0;;ambrose_of_milan_bishop
514;sv. Lucie;;40;;;;0;;lucy_of_syracuse_virgin
515;sv. Jana od Kříže;;40;;;;0;;john_of_the_cross_priest
516;sv. Františka Xaverského;;40;;;;0;;francis_xavier_priest
517;sv. Edmunda Kampiána;;40;;;;0;;edmund_campion_priest
518;sv. Jana Damašského;;40;;;;0;;john_damascene_priest
519;sv. Mikuláše;;40;;;;0;;nicholas_of_myra_bishop
520;sv. Jana Didaka Cuauhtlatoatzina;;40;;;;0;;juan_diego_cuauhtlatoatzin
521;sv. Damasa I.;;40;;;;0;;damasus_i_pope
522;Panny Marie Guadalupské;;40;;;;0;;our_lady_of_guadalupe
523;sv. Petra Kanisia;;40;;;;0;;peter_canisius_priest
524;sv. Jana Kentského;;40;;;;0;;john_of_kanty_priest
525;sv. Tomáše Becketa;;40;;;;0;;thomas_becket_bishop
526;sv. Silvestra I.;;40;;;;0;;sylvester_i_pope
527;Panny Marie, Matky církve;;40;;;;0;;our_lady_mother_of_christian_unity
528;Ježíše Krista, nejvyššího a věčného kněze;;40;;;;0;;our_lord_jesus_christ_the_eternal_high_priest
529;Nejsvětější Trojice;;40;;;;0;;trinity_sunday
530;Těla a Krve Páně;;40;;;;0;;corpus_christi
531;Nejsvětějšího Srdce Ježíšova;;40;;;;0;;most_sacred_heart_of_jesus
532;Neposkvrněného Srdce Panny Marie;;40;;;;0;;immaculate_heart_of_mary
700;Seslání Ducha svatého (vigílie);;40;;;;0;;pentecost_sunday
701;Zelený čtvrtek (Večeře Páně);;40;;;;0;;thursday_of_the_lord_s_supper
702;Narození Páně (vigílie)	christmas;;40;;;;0;;christmas
